FAMILY	Agossypii	Dhansenii	Ncrassa	Nfumigata	Pcarinii	Pjirovecii	Rdelemar	Sjaponicus	Spombe	Tdeformans	Umaydis	Scerevisiae	Ylipolytica	Scryophilus	Soctosporus
ORTHOMCL0	0	0	0	0	0	0	675	0	0	0	2	0	0	0	0
ORTHOMCL1	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0
ORTHOMCL2	0	0	0	0	0	0	437	2	0	0	0	0	0	0	0
ORTHOMCL3	0	0	0	0	0	0	321	0	0	2	1	0	5	0	0
ORTHOMCL4	0	0	0	0	0	0	287	0	0	0	2	0	0	0	0
ORTHOMCL5	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0
ORTHOMCL6	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0
ORTHOMCL7	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0
ORTHOMCL8	0	0	0	0	0	0	116	0	0	0	2	0	0	0	0
ORTHOMCL9	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
ORTHOMCL10	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0
ORTHOMCL11	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0
ORTHOMCL12	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0
ORTHOMCL13	0	0	17	4	0	0	56	0	0	1	0	0	0	0	0
ORTHOMCL14	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0
ORTHOMCL15	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0
ORTHOMCL16	3	7	6	6	2	1	6	3	4	5	6	3	9	3	3
ORTHOMCL17	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0
ORTHOMCL18	4	6	4	12	0	0	8	1	2	5	4	5	5	4	2
ORTHOMCL19	4	4	3	3	3	2	9	5	4	3	1	7	6	4	4
ORTHOMCL20	5	3	2	3	0	0	11	0	0	3	1	1	29	0	0
ORTHOMCL21	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0
ORTHOMCL22	4	6	3	3	0	0	9	3	5	2	1	4	8	3	3
ORTHOMCL23	0	0	0	0	0	0	0	0	0	0	0	0	0	4	50
ORTHOMCL24	3	3	2	3	0	0	2	7	8	1	1	10	1	6	6
ORTHOMCL25	0	0	1	1	0	0	49	0	1	0	0	0	0	0	0
ORTHOMCL26	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0
ORTHOMCL27	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0
ORTHOMCL28	2	1	0	0	0	0	40	0	0	0	0	2	0	0	0
ORTHOMCL29	0	4	0	0	0	0	0	0	0	3	38	0	0	0	0
ORTHOMCL30	2	3	3	3	4	2	4	3	3	3	2	3	4	3	3
ORTHOMCL31	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0
ORTHOMCL32	1	1	4	10	1	1	4	2	2	2	4	1	4	2	3
ORTHOMCL33	3	3	3	3	2	2	3	3	3	3	3	2	3	3	3
