id	len	species
NC_003229_1520	192	ECUNI
NC_003229_2498	789	ECUNI
NC_003229_4385	139	ECUNI
NC_003229_4896	552	ECUNI
NC_003229_7020	421	ECUNI
NC_003229_9250	283	ECUNI
NC_003229_10478	57	ECUNI
NC_003229_12275	377	ECUNI
NC_003229_13429	282	ECUNI
NC_003229_15775	111	ECUNI
NC_003229_16897	101	ECUNI
NC_003229_19679	120	ECUNI
NC_003229_20459	74	ECUNI
NC_003229_21196	255	ECUNI
NC_003229_22759	183	ECUNI
NC_003229_23602	160	ECUNI
NC_003229_24251	186	ECUNI
NC_003229_24821	141	ECUNI
NC_003229_26741	160	ECUNI
NC_003229_27489	479	ECUNI
NC_003229_28379	47	ECUNI
NC_003229_29116	259	ECUNI
NC_003229_30602	53	ECUNI
NC_003229_31396	48	ECUNI
NC_003229_32470	189	ECUNI
NC_003229_33826	64	ECUNI
NC_003229_34328	126	ECUNI
NC_003229_35372	57	ECUNI
NC_003229_36437	75	ECUNI
NC_003229_36827	35	ECUNI
NC_003229_38353	83	ECUNI
NC_003229_41358	65	ECUNI
NC_003229_42041	70	ECUNI
NC_003229_42939	416	ECUNI
NC_003229_44189	89	ECUNI
NC_003229_45301	32	ECUNI
NC_003229_46056	82	ECUNI
NC_003229_47725	120	ECUNI
NC_003229_48163	282	ECUNI
NC_003229_49084	30	ECUNI
NC_003229_49597	278	ECUNI
NC_003229_51372	41	ECUNI
NC_003229_51947	32	ECUNI
NC_003229_52321	114	ECUNI
NC_003229_54298	87	ECUNI
NC_003229_55753	144	ECUNI
NC_003229_58258	76	ECUNI
NC_003229_58673	25	ECUNI
NC_003229_59277	74	ECUNI
NC_003229_61112	66	ECUNI
NC_003229_62633	42	ECUNI
NC_003229_62757	51	ECUNI
NC_003229_63090	119	ECUNI
NC_003229_63280	45	ECUNI
NC_003229_64336	55	ECUNI
NC_003229_65942	103	ECUNI
NC_003229_67863	335	ECUNI
NC_003229_69596	38	ECUNI
NC_003229_70426	49	ECUNI
NC_003229_72833	216	ECUNI
NC_003229_73616	103	ECUNI
NC_003229_74217	593	ECUNI
NC_003229_76967	130	ECUNI
NC_003229_78258	125	ECUNI
NC_003229_79844	84	ECUNI
NC_003229_82130	149	ECUNI
NC_003229_83791	78	ECUNI
NC_003229_84721	18	ECUNI
NC_003229_85195	72	ECUNI
NC_003229_86539	416	ECUNI
NC_003229_88923	97	ECUNI
NC_003229_89407	77	ECUNI
NC_003229_91002	136	ECUNI
NC_003229_91372	241	ECUNI
NC_003229_92234	39	ECUNI
NC_003229_92801	100	ECUNI
NC_003229_93287	48	ECUNI
NC_003229_94022	457	ECUNI
NC_003229_95094	91	ECUNI
NC_003229_95653	48	ECUNI
NC_003229_97099	65	ECUNI
NC_003229_97509	225	ECUNI
NC_003229_98904	62	ECUNI
NC_003229_100520	56	ECUNI
NC_003229_104067	67	ECUNI
NC_003229_104206	87	ECUNI
NC_003229_104846	390	ECUNI
NC_003229_105665	37	ECUNI
NC_003229_106044	34	ECUNI
NC_003229_106408	58	ECUNI
NC_003229_107054	60	ECUNI
NC_003229_108596	62	ECUNI
NC_003229_109588	80	ECUNI
NC_003229_110310	87	ECUNI
NC_003229_111063	1	ECUNI
NC_003229_112047	67	ECUNI
NC_003229_112777	99	ECUNI
NC_003229_114408	230	ECUNI
NC_003229_114974	221	ECUNI
NC_003229_116725	289	ECUNI
NC_003229_117530	123	ECUNI
NC_003229_117724	78	ECUNI
NC_003229_118276	25	ECUNI
NC_003229_120807	90	ECUNI
NC_003229_121356	104	ECUNI
NC_003229_123497	118	ECUNI
NC_003229_125688	72	ECUNI
NC_003229_128268	76	ECUNI
NC_003229_135635	82	ECUNI
NC_003229_138401	58	ECUNI
NC_003229_139071	3	ECUNI
NC_003229_139734	46	ECUNI
NC_003229_140437	69	ECUNI
NC_003229_141070	42	ECUNI
NC_003229_141616	312	ECUNI
NC_003229_143857	92	ECUNI
NC_003229_145719	58	ECUNI
NC_003229_147895	73	ECUNI
NC_003229_150737	46	ECUNI
NC_003229_151230	33	ECUNI
NC_003229_152235	21	ECUNI
NC_003229_152679	30	ECUNI
NC_003229_153237	80	ECUNI
NC_003229_154640	28	ECUNI
NC_003229_156684	71	ECUNI
NC_003229_157631	41	ECUNI
NC_003229_159334	79	ECUNI
NC_003229_159731	109	ECUNI
NC_003229_161130	53	ECUNI
NC_003229_161774	123	ECUNI
NC_003229_163460	79	ECUNI
NC_003229_165519	258	ECUNI
NC_003229_167010	31	ECUNI
NC_003229_168505	309	ECUNI
NC_003229_170041	132	ECUNI
NC_003229_171463	84	ECUNI
NC_003229_172117	70	ECUNI
NC_003229_173000	91	ECUNI
NC_003229_174726	48	ECUNI
NC_003229_175701	130	ECUNI
NC_003229_177973	76	ECUNI
NC_003229_178520	141	ECUNI
NC_003229_179213	83	ECUNI
NC_003229_179378	110	ECUNI
NC_003229_182083	342	ECUNI
NC_003229_183877	98	ECUNI
NC_003229_185253	138	ECUNI
NC_003229_187503	330	ECUNI
NC_003229_189684	246	ECUNI
NC_003229_190761	642	ECUNI
NC_003229_192399	876	ECUNI
NC_003229_194040	1058	ECUNI
NC_003229_195404	71	ECUNI
NC_003230_2021	1201	ECUNI
NC_003230_3579	590	ECUNI
NC_003230_4976	424	ECUNI
NC_003230_6666	116	ECUNI
NC_003230_7154	488	ECUNI
NC_003230_8390	186	ECUNI
NC_003230_10445	956	ECUNI
NC_003230_12967	628	ECUNI
NC_003230_14399	405	ECUNI
NC_003230_15635	360	ECUNI
NC_003230_16796	225	ECUNI
NC_003230_17900	75	ECUNI
NC_003230_18833	25	ECUNI
NC_003230_20295	92	ECUNI
NC_003230_20858	127	ECUNI
NC_003230_22005	72	ECUNI
NC_003230_22899	75	ECUNI
NC_003230_23709	135	ECUNI
NC_003230_25467	152	ECUNI
NC_003230_25955	241	ECUNI
NC_003230_27954	110	ECUNI
NC_003230_28877	331	ECUNI
NC_003230_29646	136	ECUNI
NC_003230_32071	128	ECUNI
NC_003230_33678	260	ECUNI
NC_003230_38738	259	ECUNI
NC_003230_39456	143	ECUNI
NC_003230_39887	88	ECUNI
NC_003230_40413	35	ECUNI
NC_003230_40940	105	ECUNI
NC_003230_41128	113	ECUNI
NC_003230_42132	131	ECUNI
NC_003230_43973	22	ECUNI
NC_003230_44523	104	ECUNI
NC_003230_44700	93	ECUNI
NC_003230_45060	25	ECUNI
NC_003230_45843	751	ECUNI
NC_003230_49445	60	ECUNI
NC_003230_50192	42	ECUNI
NC_003230_52811	64	ECUNI
NC_003230_54120	36	ECUNI
NC_003230_57345	51	ECUNI
NC_003230_57702	126	ECUNI
NC_003230_59523	30	ECUNI
NC_003230_60111	42	ECUNI
NC_003230_60468	94	ECUNI
NC_003230_61624	152	ECUNI
NC_003230_65508	88	ECUNI
NC_003230_67648	81	ECUNI
NC_003230_68260	30	ECUNI
NC_003230_70483	104	ECUNI
NC_003230_73026	69	ECUNI
NC_003230_74106	284	ECUNI
NC_003230_74993	120	ECUNI
NC_003230_77915	92	ECUNI
NC_003230_78604	116	ECUNI
NC_003230_79098	366	ECUNI
NC_003230_79911	218	ECUNI
NC_003230_81374	40	ECUNI
NC_003230_82587	26	ECUNI
NC_003230_82979	56	ECUNI
NC_003230_83440	107	ECUNI
NC_003230_85284	61	ECUNI
NC_003230_86065	40	ECUNI
NC_003230_88871	147	ECUNI
NC_003230_89381	105	ECUNI
NC_003230_91994	73	ECUNI
NC_003230_92400	406	ECUNI
NC_003230_93688	59	ECUNI
NC_003230_94269	37	ECUNI
NC_003230_94780	107	ECUNI
NC_003230_95571	46	ECUNI
NC_003230_99645	40	ECUNI
NC_003230_100403	164	ECUNI
NC_003230_101887	141	ECUNI
NC_003230_102655	18	ECUNI
NC_003230_102937	55	ECUNI
NC_003230_104588	68	ECUNI
NC_003230_105013	41	ECUNI
NC_003230_105747	11	ECUNI
NC_003230_106568	57	ECUNI
NC_003230_109552	97	ECUNI
NC_003230_110633	78	ECUNI
NC_003230_111038	48	ECUNI
NC_003230_114062	96	ECUNI
NC_003230_114749	160	ECUNI
NC_003230_115629	79	ECUNI
NC_003230_117106	169	ECUNI
NC_003230_118691	273	ECUNI
NC_003230_120665	319	ECUNI
NC_003230_122694	62	ECUNI
NC_003230_124379	104	ECUNI
NC_003230_126363	63	ECUNI
NC_003230_127981	36	ECUNI
NC_003230_128707	122	ECUNI
NC_003230_129513	171	ECUNI
NC_003230_130158	69	ECUNI
NC_003230_131265	19	ECUNI
NC_003230_132136	41	ECUNI
NC_003230_132249	81	ECUNI
NC_003230_134466	41	ECUNI
NC_003230_135341	425	ECUNI
NC_003230_136276	32	ECUNI
NC_003230_136917	58	ECUNI
NC_003230_137329	26	ECUNI
NC_003230_137904	77	ECUNI
NC_003230_139538	288	ECUNI
NC_003230_140510	506	ECUNI
NC_003230_142624	144	ECUNI
NC_003230_143302	79	ECUNI
NC_003230_143801	134	ECUNI
NC_003230_145087	123	ECUNI
NC_003230_146203	63	ECUNI
NC_003230_148059	205	ECUNI
NC_003230_149475	39	ECUNI
NC_003230_151984	19	ECUNI
NC_003230_152501	111	ECUNI
NC_003230_152685	34	ECUNI
NC_003230_153910	161	ECUNI
NC_003230_154962	128	ECUNI
NC_003230_156338	98	ECUNI
NC_003230_159013	43	ECUNI
NC_003230_160124	84	ECUNI
NC_003230_161126	20	ECUNI
NC_003230_162397	77	ECUNI
NC_003230_163518	112	ECUNI
NC_003230_164431	988	ECUNI
NC_003230_166931	76	ECUNI
NC_003230_169044	70	ECUNI
NC_003230_170989	129	ECUNI
NC_003230_171724	9	ECUNI
NC_003230_173128	94	ECUNI
NC_003230_174131	431	ECUNI
NC_003230_174997	133	ECUNI
NC_003230_175616	48	ECUNI
NC_003230_175991	70	ECUNI
NC_003230_176664	8	ECUNI
NC_003230_177032	710	ECUNI
NC_003230_178114	216	ECUNI
NC_003230_179440	143	ECUNI
NC_003230_183354	596	ECUNI
NC_003230_184946	111	ECUNI
NC_003230_185708	409	ECUNI
NC_003230_186657	111	ECUNI
NC_003230_187248	62	ECUNI
NC_003230_187949	79	ECUNI
